version,language,gaming_frequency,consent_understand,consent_publication,consent,pf1,pf2,pf3,pf4,imi1,imi2,imi3,imi4,imi5,imi6,imi7,bug,bugdesc,imi_enjoyment,play_framing,total_moves,moves_correct_form,grammatical_moves_idealised,proportion_of_valid_data_total_idealised,proportion_of_valid_data_first20_idealised,proportion_of_valid_data_providing_mechanic_actuations_total_idealised,moves_correct_form_last16,grammatical_moves_last16_idealised,proportion_of_valid_data_last16_idealised,proportion_of_valid_data_providing_mechanic_actuations_last16_idealised,time_per_input_from_moveDurations,time_per_input_from_8min
LowFraming,english,every-day,True,True,True,3,4,1,3,4,4,4,6,6,6,1,bug,"The game was very blurry and quite hard to read the small writing at the bottom. 
Sorry  ",3.2857142857142856,3.0,20,16,5,0.25,0.25,0.3125,11,4,0.26666666666666666,0.36363636363636365,13.76021428566887,24.0
HighFraming,english,several-times-a-week,True,True,True,5,5,1,1,5,5,4,6,5,1,2,nobug,,2.857142857142857,4.25,20,19,17,0.85,0.85,0.8947368421052632,15,13,0.8666666666666667,0.8666666666666667,13.9732,24.0
LowFraming,english,several-times-a-week,True,True,True,4,4,1,1,5,4,3,6,6,4,1,nobug,,3.2857142857142856,3.75,19,19,10,0.5263157894736842,0.5,0.5263157894736842,15,10,0.6666666666666666,0.6666666666666666,15.718485000000893,25.263157894736842
LowFraming,english,about-once-a-week,True,True,True,3,3,5,1,1,2,3,6,5,5,2,nobug,,2.5714285714285716,4.25,12,9,4,0.3333333333333333,0.2,0.4444444444444444,9,4,0.26666666666666666,0.4444444444444444,24.298723076923245,40.0
HighFraming,english,every-day,True,True,True,5,5,1,1,5,5,1,6,6,6,1,nobug,,4.0,4.25,7,4,1,0.14285714285714285,0.05,0.25,4,1,0.06666666666666667,0.25,35.647445,68.57142857142857
LowFraming,english,about-once-a-month,True,True,True,5,5,1,1,5,5,3,6,6,6,1,nobug,,3.7142857142857144,4.25,21,16,2,0.09523809523809523,0.1,0.125,12,0,0.0,0.0,14.970895454547621,22.857142857142858
LowFraming,english,several-times-a-week,True,True,True,4,5,2,1,5,4,5,6,6,6,2,nobug,,3.4285714285714284,4.25,39,39,25,0.6410256410256411,0.65,0.6410256410256411,15,8,0.5333333333333333,0.5333333333333333,9.021747500000709,12.307692307692308
LowFraming,english,several-times-a-week,True,True,True,5,5,1,1,5,5,2,6,6,6,1,nobug,,3.857142857142857,4.25,15,14,5,0.3333333333333333,0.25,0.35714285714285715,14,5,0.3333333333333333,0.35714285714285715,17.962174999993294,32.0
LowFraming,english,several-times-a-week,True,True,True,2,2,4,3,1,1,1,2,2,1,3,nobug,,2.4285714285714284,3.0,27,23,7,0.25925925925925924,0.2,0.30434782608695654,12,7,0.4666666666666667,0.5833333333333334,13.659024285714276,17.77777777777778
LowFraming,english,almost-never,True,True,True,4,4,1,1,5,5,5,6,6,6,1,nobug,,3.4285714285714284,3.75,16,13,1,0.0625,0.05,0.07692307692307693,13,1,0.06666666666666667,0.07692307692307693,16.556199999998597,30.0
HighFraming,english,about-once-a-month,True,True,True,4,3,1,1,5,5,4,6,5,5,1,nobug,,3.2857142857142856,3.5,17,17,2,0.11764705882352941,0.1,0.11764705882352941,15,2,0.13333333333333333,0.13333333333333333,14.048911764711033,28.235294117647058
LowFraming,english,several-times-a-week,True,True,True,3,4,2,2,2,3,2,4,5,5,2,nobug,,3.2857142857142856,3.5,26,20,3,0.11538461538461539,0.1,0.15,12,1,0.06666666666666667,0.08333333333333333,13.872981481477067,18.46153846153846
LowFraming,english,several-times-a-week,True,True,True,1,2,2,2,3,3,2,3,3,3,2,bug,"It was impossible to complete. By insisting that 3 words are used, there was no way to clear the unfilled blue diamond as small or unfilled weren't options. The only words that were applicable were blue and diamond which weren't three words. I figured this out quickly so was just trying to pass the 8 minutes as I knew I wouldn't be able to complete it.",3.0,2.5,21,20,15,0.7142857142857143,0.75,0.75,15,12,0.8,0.8,15.603140909086573,22.857142857142858
LowFraming,english,about-once-a-week,True,True,True,4,4,2,2,4,4,3,5,5,5,2,nobug,,3.4285714285714284,3.75,25,25,19,0.76,0.75,0.76,15,14,0.9333333333333333,0.9333333333333333,12.376565384614926,19.2
HighFraming,english,about-once-a-week,True,True,True,5,5,1,1,5,5,5,6,5,5,2,nobug,,3.2857142857142856,4.25,13,12,1,0.07692307692307693,0.05,0.08333333333333333,12,1,0.06666666666666667,0.08333333333333333,26.604553846152932,36.92307692307692
LowFraming,english,about-once-a-week,True,True,True,3,3,2,1,4,3,3,6,6,5,3,nobug,,3.4285714285714284,3.5,51,42,15,0.29411764705882354,0.25,0.35714285714285715,11,6,0.4,0.5454545454545454,5.506153846153845,9.411764705882353
HighFraming,english,every-day,True,True,True,4,4,1,1,4,4,3,5,2,1,3,bug,couldnt ude the same word twice,2.5714285714285716,3.75,21,20,7,0.3333333333333333,0.3,0.35,14,6,0.4,0.42857142857142855,10.532571428571428,22.857142857142858
HighFraming,english,almost-never,True,True,True,2,1,5,4,1,2,1,2,2,2,5,nobug,,3.0,2.75,22,18,15,0.6818181818181818,0.65,0.8333333333333334,13,12,0.8,0.9230769230769231,13.01027272727273,21.818181818181817
LowFraming,english,every-day,True,True,True,3,4,3,3,3,3,2,4,5,5,2,nobug,,3.4285714285714284,3.5,38,33,27,0.7105263157894737,0.55,0.8181818181818182,13,13,0.8666666666666667,1.0,9.760820512820516,12.631578947368421
HighFraming,english,every-day,True,True,True,4,4,2,2,3,4,4,4,5,5,2,nobug,,3.2857142857142856,3.75,31,27,20,0.6451612903225806,0.65,0.7407407407407407,15,10,0.6666666666666666,0.6666666666666666,9.841312903225903,15.483870967741936
HighFraming,english,several-times-a-week,True,True,True,2,2,3,3,4,2,2,4,2,4,3,nobug,,3.0,2.75,25,21,3,0.12,0.1,0.14285714285714285,12,1,0.06666666666666667,0.08333333333333333,14.019631999993324,19.2
HighFraming,english,several-times-a-week,True,True,True,4,4,2,1,5,5,2,6,6,6,1,nobug,,3.857142857142857,4.0,28,24,20,0.7142857142857143,0.65,0.8333333333333334,13,11,0.7333333333333333,0.8461538461538461,11.037628571429423,17.142857142857142
HighFraming,english,every-day,True,True,True,2,2,5,5,3,3,1,6,5,6,1,nobug,,3.2857142857142856,2.75,25,23,10,0.4,0.5,0.43478260869565216,13,3,0.2,0.23076923076923078,12.956144000005722,19.2
LowFraming,english,several-times-a-week,True,True,True,4,5,2,2,4,4,1,6,5,2,2,nobug,,3.142857142857143,4.0,40,32,18,0.45,0.4,0.5625,15,8,0.5333333333333333,0.5333333333333333,8.137670731705862,12.0
LowFraming,english,every-day,True,True,True,4,5,2,1,4,5,5,5,5,4,2,nobug,,3.142857142857143,4.25,27,24,13,0.48148148148148145,0.45,0.5416666666666666,13,7,0.4666666666666667,0.5384615384615384,13.683821428562911,17.77777777777778
HighFraming,english,several-times-a-week,True,True,True,4,4,2,1,4,4,2,6,6,6,1,nobug,,3.5714285714285716,4.0,27,20,10,0.37037037037037035,0.4,0.5,14,8,0.5333333333333333,0.5714285714285714,12.640696296296742,17.77777777777778
LowFraming,english,several-times-a-week,True,True,True,3,2,4,2,2,3,2,6,6,6,6,nobug,,3.857142857142857,3.5,32,30,19,0.59375,0.55,0.6333333333333333,15,8,0.5333333333333333,0.5333333333333333,11.52578787879149,15.0
LowFraming,english,every-day,True,True,True,4,5,1,1,5,4,5,5,5,5,2,nobug,,3.2857142857142856,4.0,43,43,38,0.8837209302325582,1.0,0.8837209302325582,15,13,0.8666666666666667,0.8666666666666667,8.31137500000271,11.162790697674419
HighFraming,english,several-times-a-week,True,True,True,2,1,5,5,1,1,1,4,4,4,4,nobug,,3.0,2.5,25,17,2,0.08,0.05,0.11764705882352941,12,2,0.13333333333333333,0.16666666666666666,12.363679999999995,19.2
HighFraming,english,several-times-a-week,True,True,True,5,4,1,1,5,4,3,5,5,5,1,nobug,,3.4285714285714284,4.0,15,13,5,0.3333333333333333,0.25,0.38461538461538464,13,5,0.3333333333333333,0.38461538461538464,11.008886666666655,32.0
HighFraming,english,about-once-a-week,True,True,True,4,4,2,1,4,4,4,4,4,4,1,nobug,,3.0,4.0,25,24,14,0.56,0.45,0.5833333333333334,14,11,0.7333333333333333,0.7857142857142857,11.305280000001192,19.2
HighFraming,english,almost-never,True,True,True,5,5,1,1,5,5,5,6,6,6,1,nobug,,3.4285714285714284,4.25,20,18,0,0.0,0.0,0.0,13,0,0.0,0.0,13.272200000000002,24.0
LowFraming,english,almost-never,True,True,True,3,2,4,2,2,2,2,5,5,5,2,nobug,,3.0,3.5,18,16,15,0.8333333333333334,0.75,0.9375,14,13,0.8666666666666667,0.9285714285714286,16.01290000000003,26.666666666666668
HighFraming,english,about-once-a-month,True,True,True,4,4,2,4,4,5,2,6,5,4,5,nobug,,3.857142857142857,3.25,21,21,13,0.6190476190476191,0.65,0.6190476190476191,15,12,0.8,0.8,14.23912857142856,22.857142857142858
LowFraming,english,about-once-a-week,True,True,True,1,1,5,5,1,1,1,1,1,1,6,bug,my page was stuck on one page and wouldn't change however i just assumed this was part of the experiment,2.857142857142857,2.25,0,0,0,0.0,0.0,0.0,0,0,0.0,,12.166799999999057,0.0
HighFraming,english,almost-never,True,True,True,1,1,5,5,1,1,1,1,1,1,5,nobug,,2.7142857142857144,2.25,30,27,11,0.36666666666666664,0.3,0.4074074074074074,14,5,0.3333333333333333,0.35714285714285715,9.415019999998314,16.0
LowFraming,english,about-once-a-month,True,True,True,3,3,2,1,2,1,1,6,5,5,2,nobug,,2.857142857142857,3.5,24,23,18,0.75,0.75,0.782608695652174,14,12,0.8,0.8571428571428571,14.153280000000006,20.0
LowFraming,english,every-day,True,True,True,3,3,4,3,2,3,2,5,5,6,1,bug,Was a bit hard to press some of the buttons at the bottom as they were at the bottom of the screen half off the page. ,3.142857142857143,3.5,20,13,3,0.15,0.15,0.23076923076923078,10,3,0.2,0.3,18.97528571428571,24.0
HighFraming,english,several-times-a-week,True,True,True,5,5,1,1,5,5,4,6,6,6,2,nobug,,3.7142857142857144,4.25,20,20,10,0.5,0.5,0.5,15,8,0.5333333333333333,0.5333333333333333,16.560935000008346,24.0
HighFraming,english,several-times-a-week,True,True,True,3,3,3,2,3,3,3,4,4,4,3,nobug,,3.142857142857143,3.5,7,4,3,0.42857142857142855,0.15,0.75,4,3,0.2,0.75,32.570114285690444,68.57142857142857
LowFraming,english,almost-never,True,True,True,2,2,4,3,1,2,1,1,2,2,4,nobug,,3.0,3.0,29,27,16,0.5517241379310345,0.6,0.5925925925925926,13,7,0.4666666666666667,0.5384615384615384,9.200433333333331,16.551724137931036
HighFraming,english,almost-never,True,True,True,2,2,3,3,2,2,2,5,5,5,3,nobug,,3.142857142857143,2.75,26,25,12,0.46153846153846156,0.5,0.48,14,6,0.4,0.42857142857142855,10.662042307670298,18.46153846153846
HighFraming,english,every-day,True,True,True,4,4,2,2,4,4,4,5,5,5,2,nobug,,3.2857142857142856,3.75,22,20,3,0.13636363636363635,0.15,0.15,14,1,0.06666666666666667,0.07142857142857142,15.413300000000028,21.818181818181817
LowFraming,english,about-once-a-month,True,True,True,5,5,1,1,5,5,4,6,6,6,1,nobug,,3.5714285714285716,4.25,12,11,2,0.16666666666666666,0.1,0.18181818181818182,11,2,0.13333333333333333,0.18181818181818182,23.515838461536628,40.0
LowFraming,english,several-times-a-week,True,True,True,5,5,1,2,5,5,5,6,6,6,3,nobug,,3.7142857142857144,4.0,29,25,9,0.3103448275862069,0.45,0.36,12,0,0.0,0.0,10.562569999999802,16.551724137931036
HighFraming,english,every-day,True,True,True,2,2,4,3,2,2,2,5,5,5,2,nobug,,3.0,3.0,36,20,3,0.08333333333333333,0.1,0.15,12,1,0.06666666666666667,0.08333333333333333,10.314969444443783,13.333333333333334
LowFraming,english,several-times-a-week,True,True,True,5,5,5,1,5,5,5,6,6,5,4,nobug,,3.7142857142857144,5.25,13,11,3,0.23076923076923078,0.15,0.2727272727272727,11,3,0.2,0.2727272727272727,22.306427857142875,36.92307692307692
HighFraming,english,every-day,True,True,True,5,5,1,1,5,5,5,6,6,6,1,nobug,,3.4285714285714284,4.25,24,23,9,0.375,0.3,0.391304347826087,14,9,0.6,0.6428571428571429,12.997500000000004,20.0
HighFraming,english,almost-never,True,True,True,3,3,2,2,3,3,2,5,4,4,2,nobug,,3.0,3.25,32,24,12,0.375,0.35,0.5,12,7,0.4666666666666667,0.5833333333333334,10.572974999999744,15.0
LowFraming,english,several-times-a-week,True,True,True,4,4,1,1,5,5,5,6,6,6,2,,,3.5714285714285716,3.75,10,8,3,0.3,0.15,0.375,8,3,0.2,0.375,17.314754545447503,48.0
HighFraming,english,almost-never,True,True,True,3,3,2,1,4,3,2,6,6,6,2,nobug,,3.5714285714285716,3.5,25,25,24,0.96,0.95,0.96,15,15,1.0,1.0,13.72463200000286,19.2
LowFraming,english,several-times-a-week,True,True,True,1,1,2,2,1,2,1,3,3,3,1,bug,"Not a bug as such, but what I didn't understand is that you had to type 'large' to remove different sized circles and squares even though it wasn't applicable and that was annoying.",2.5714285714285716,2.25,34,17,6,0.17647058823529413,0.15,0.35294117647058826,12,4,0.26666666666666666,0.3333333333333333,9.529594285716326,14.117647058823529
HighFraming,english,several-times-a-week,True,True,True,5,5,1,1,4,5,3,6,6,6,1,bug,unable to see the shapes on task 6 and therefore not able to complete that level/task,3.5714285714285716,4.25,56,49,0,0.0,0.0,0.0,12,0,0.0,0.0,6.4063928571428574,8.571428571428571
HighFraming,english,several-times-a-week,True,True,True,5,5,2,1,4,4,3,5,5,5,2,nobug,,3.4285714285714284,4.5,21,21,13,0.6190476190476191,0.6,0.6190476190476191,15,10,0.6666666666666666,0.6666666666666666,11.461866666702997,22.857142857142858
LowFraming,english,several-times-a-week,True,True,True,3,3,4,4,3,3,3,3,3,5,5,nobug,,3.5714285714285716,3.25,12,8,0,0.0,0.0,0.0,8,0,0.0,0.0,20.357684615391953,40.0
HighFraming,english,almost-never,True,True,True,5,5,1,1,5,5,3,6,6,6,4,nobug,,4.142857142857143,4.25,15,1,1,0.06666666666666667,0.05,1.0,1,1,0.06666666666666667,1.0,21.07445333333016,32.0
HighFraming,english,about-once-a-month,True,True,True,5,4,1,1,4,4,2,5,6,5,1,bug,Not bugs as such but it didn't let you clear a shape unless you gave a shape name in the description. ,3.5714285714285716,4.0,25,22,5,0.2,0.2,0.22727272727272727,13,2,0.13333333333333333,0.15384615384615385,12.120750599987804,19.2
HighFraming,english,several-times-a-week,True,True,True,4,4,2,1,5,4,3,5,5,3,1,nobug,,3.142857142857143,4.0,32,29,7,0.21875,0.2,0.2413793103448276,13,4,0.26666666666666666,0.3076923076923077,10.37464765625009,15.0
HighFraming,english,every-day,True,True,True,5,5,3,1,5,5,5,6,6,6,6,nobug,,4.142857142857143,4.75,31,30,26,0.8387096774193549,0.75,0.8666666666666667,14,14,0.9333333333333333,1.0,10.652132258064325,15.483870967741936
LowFraming,english,almost-never,True,True,True,3,3,2,4,3,3,2,6,6,6,1,nobug,,3.2857142857142856,2.75,22,18,12,0.5454545454545454,0.6,0.6666666666666666,11,7,0.4666666666666667,0.6363636363636364,13.597173913038294,21.818181818181817
LowFraming,english,about-once-a-week,True,True,True,4,4,2,2,4,5,4,5,5,5,2,nobug,,3.4285714285714284,3.75,17,17,15,0.8823529411764706,0.75,0.8823529411764706,15,13,0.8666666666666667,0.8666666666666667,17.228838888883587,28.235294117647058
LowFraming,english,about-once-a-month,True,True,True,3,4,1,2,3,2,1,6,6,6,1,nobug,,3.2857142857142856,3.25,29,27,5,0.1724137931034483,0.05,0.18518518518518517,15,4,0.26666666666666666,0.26666666666666666,8.720266666666667,16.551724137931036
HighFraming,english,about-once-a-month,True,True,True,2,2,4,3,2,2,1,1,1,1,5,nobug,,3.0,3.0,20,16,7,0.35,0.35,0.4375,12,6,0.4,0.5,18.09462499999404,24.0
LowFraming,english,almost-never,True,True,True,4,4,1,2,4,4,3,5,5,5,2,nobug,,3.4285714285714284,3.5,10,10,0,0.0,0.0,0.0,10,0,0.0,0.0,23.4165,48.0
LowFraming,english,every-day,True,True,True,5,5,1,1,5,5,3,6,6,6,3,nobug,,4.0,4.25,30,27,16,0.5333333333333333,0.6,0.5925925925925926,13,8,0.5333333333333333,0.6153846153846154,12.47574193548387,16.0
HighFraming,english,several-times-a-week,True,True,True,3,3,4,3,3,4,2,5,5,5,5,nobug,,3.857142857142857,3.5,17,15,0,0.0,0.0,0.0,13,0,0.0,0.0,12.396764705882353,28.235294117647058
LowFraming,english,about-once-a-week,True,True,True,5,5,1,1,5,5,5,6,6,6,1,nobug,,3.4285714285714284,4.25,14,11,0,0.0,0.0,0.0,11,0,0.0,0.0,17.9033466666619,34.285714285714285
LowFraming,english,every-day,True,True,True,3,5,2,1,3,3,3,6,6,6,1,nobug,,3.142857142857143,4.0,23,23,4,0.17391304347826086,0.15,0.17391304347826086,15,3,0.2,0.2,12.117195833332838,20.869565217391305
HighFraming,english,several-times-a-week,True,True,True,3,3,4,3,2,3,2,5,5,5,2,nobug,,3.142857142857143,3.5,24,21,2,0.08333333333333333,0.1,0.09523809523809523,12,2,0.13333333333333333,0.16666666666666666,12.513062499999997,20.0
LowFraming,english,several-times-a-week,True,True,True,4,4,1,4,3,4,2,6,6,6,1,nobug,,3.4285714285714284,3.0,12,11,0,0.0,0.0,0.0,11,0,0.0,0.0,21.06463076922985,40.0
HighFraming,english,every-day,True,True,True,5,4,1,1,4,4,4,6,5,5,4,nobug,,3.4285714285714284,4.0,32,29,27,0.84375,0.75,0.9310344827586207,15,15,1.0,1.0,10.341959374999629,15.0
HighFraming,english,almost-never,True,True,True,3,3,3,4,2,2,1,1,5,3,3,nobug,,3.5714285714285716,3.0,41,39,19,0.4634146341463415,0.4,0.48717948717948717,14,7,0.4666666666666667,0.5,7.693880487802553,11.707317073170731
LowFraming,english,every-day,True,True,True,4,4,2,1,3,3,2,6,5,5,1,nobug,,3.0,4.0,28,28,8,0.2857142857142857,0.2,0.2857142857142857,15,5,0.3333333333333333,0.3333333333333333,12.255220689655378,17.142857142857142
HighFraming,english,several-times-a-week,True,True,True,4,4,2,1,3,4,3,4,4,4,3,nobug,,3.2857142857142856,4.0,13,13,10,0.7692307692307693,0.5,0.7692307692307693,13,10,0.6666666666666666,0.7692307692307693,24.41415384615385,36.92307692307692
LowFraming,english,almost-never,True,True,True,4,3,1,1,4,4,2,5,5,5,2,nobug,,3.5714285714285716,3.5,9,6,4,0.4444444444444444,0.2,0.6666666666666666,6,4,0.26666666666666666,0.6666666666666666,17.031100000000002,53.333333333333336
HighFraming,english,about-once-a-month,True,True,True,4,4,1,1,3,4,4,5,5,5,2,bug,some of the words were too close together to click on some descriptions (bit of an overlap),3.142857142857143,3.75,26,25,10,0.38461538461538464,0.35,0.4,15,7,0.4666666666666667,0.4666666666666667,11.935980769228477,18.46153846153846
LowFraming,english,several-times-a-week,True,True,True,4,4,2,1,3,4,3,5,5,5,2,nobug,,3.2857142857142856,4.0,25,25,22,0.88,0.85,0.88,15,14,0.9333333333333333,0.9333333333333333,14.078961538461543,19.2
LowFraming,english,several-times-a-week,True,True,True,5,5,1,1,5,5,5,6,6,6,1,nobug,,3.4285714285714284,4.25,22,19,1,0.045454545454545456,0.0,0.05263157894736842,13,1,0.06666666666666667,0.07692307692307693,13.506595652173962,21.818181818181817
LowFraming,english,about-once-a-month,True,True,True,2,3,4,1,2,2,2,5,6,1,5,nobug,,3.0,3.75,16,14,2,0.125,0.1,0.14285714285714285,13,2,0.13333333333333333,0.15384615384615385,15.65118970588425,30.0
HighFraming,english,about-once-a-week,True,True,True,5,5,1,1,5,5,5,6,6,6,2,nobug,,3.5714285714285716,4.25,21,19,17,0.8095238095238095,0.8,0.8947368421052632,14,14,0.9333333333333333,1.0,15.975461904764174,22.857142857142858
